"id","cv","psup","psup_short","pltsup","pltsup_short","pmem","female","agecat","edu","edu4","job","pref","hdist","policy06","policy07","policy08","policy09","policy10","policy11","policy12","policy13","policy14","policy15","policy16","policy17","policy18","policy19","policy20","policy21","policy22","policy23","policy24","policy25","policy38","policy39","policy41"
24,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,1,NA,NA,NA,NA,1,7,5,5,1,5,2,5,5,5,5,1,1,1,1,5,1,1,4,5,4,4,2,3,3
25,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,1,7,1,1,3,1,1,1,1,2,1,3,2,1,2,5,5,3,1,3,3,3,2,3,3
26,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,1,8,1,1,3,1,1,1,1,1,5,3,2,3,2,5,3,5,2,3,3,5,1,1,3
27,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,1,8,3,3,1,3,1,3,3,3,4,3,3,3,2,4,2,2,2,2,3,2,3,3,4
28,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,1,8,1,1,4,1,2,2,1,2,2,4,2,4,3,5,4,2,1,5,4,4,2,2,3
29,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,1,8,NA,NA,NA,NA,1,1,1,NA,5,NA,NA,1,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA
30,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,1,9,2,3,2,2,1,1,2,2,3,4,2,1,2,3,4,4,3,3,4,4,2,2,2
31,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,1,9,1,3,1,5,1,5,4,3,5,2,3,3,5,5,3,2,3,4,3,3,1,5,2
32,"candidate","Japanese Communist Party","JCP",NA,NA,NA,1,NA,NA,NA,NA,1,9,5,5,1,5,2,5,5,5,5,1,1,3,2,5,5,1,2,5,5,1,3,5,3
33,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,1,9,1,1,4,1,2,1,1,2,3,3,3,4,3,5,5,5,1,5,3,4,1,1,3
34,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,1,NA,NA,NA,NA,1,10,1,2,3,2,1,1,1,1,5,3,2,1,2,3,3,5,4,2,3,5,2,2,2
35,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,1,10,3,3,1,3,1,2,3,2,4,2,2,2,4,4,1,3,3,4,3,3,4,3,2
36,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,1,10,1,1,1,1,5,2,1,1,2,4,3,4,2,5,5,5,1,3,3,3,4,1,3
37,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,1,11,1,1,1,1,1,1,1,2,2,2,2,2,2,1,3,5,4,2,2,5,3,1,2
38,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,1,11,5,3,1,5,3,5,5,2,5,2,2,3,5,5,1,2,3,5,5,3,4,4,3
39,"candidate","Japanese Communist Party","JCP",NA,NA,NA,1,NA,NA,NA,NA,1,11,5,5,1,5,2,5,5,5,5,1,1,3,2,5,5,1,2,5,5,1,3,5,3
40,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,1,12,1,2,1,2,1,2,2,2,4,3,1,2,2,3,1,3,1,2,3,4,3,1,3
41,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,1,12,4,4,1,5,5,2,4,3,5,1,2,1,3,5,1,4,4,4,NA,5,NA,NA,NA
42,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,1,12,1,1,1,1,1,1,1,1,3,3,3,5,2,5,5,5,1,3,5,5,1,1,4
43,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,2,1,5,1,1,3,1,1,4,1,4,2,3,3,3,3,1,5,2,3,2,2,3,5,3
44,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,2,1,5,5,1,5,2,5,5,5,5,2,3,3,4,5,3,1,3,4,4,1,2,5,3
45,"candidate","Social Democratic Party","SDP",NA,NA,NA,0,NA,NA,NA,NA,2,1,5,5,1,5,2,5,5,5,5,1,2,3,2,5,1,1,3,5,5,1,1,5,1
46,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,2,1,1,1,NA,1,1,1,1,1,1,4,1,5,2,5,5,1,1,3,4,5,1,1,4
47,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,2,1,1,1,2,4,1,1,1,1,3,2,2,1,2,5,1,5,4,2,3,4,4,4,2
48,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,2,1,1,3,1,2,1,1,1,1,4,3,1,1,2,3,5,4,4,2,3,4,3,3,2
49,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,2,2,1,1,1,2,1,1,1,2,4,2,1,1,1,1,3,4,3,2,2,4,4,1,2
50,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,1,NA,NA,NA,NA,2,2,4,1,1,3,1,2,3,3,5,5,3,3,5,4,2,1,4,4,3,5,1,5,3
51,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,2,2,1,1,4,1,1,1,1,1,3,3,3,1,3,5,3,3,2,3,3,3,3,2,2
52,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,2,2,3,2,3,2,2,2,3,2,4,2,1,1,1,2,2,2,3,2,4,3,4,4,5
53,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,2,3,1,2,1,3,1,1,3,NA,4,2,1,1,1,NA,5,3,2,1,3,5,3,1,2
54,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,1,NA,NA,NA,NA,2,3,4,2,1,3,1,2,4,2,4,3,3,3,4,3,1,2,3,4,4,4,2,5,3
55,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,2,3,1,1,1,1,1,1,1,1,2,3,3,5,3,5,5,2,2,4,3,2,1,2,5
56,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,2,4,1,1,1,3,1,2,2,2,3,2,2,1,2,3,3,3,3,3,3,4,3,2,3
57,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,2,4,3,3,3,1,1,1,2,1,4,2,2,1,2,5,1,3,3,2,3,5,1,1,1
58,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,2,4,1,1,4,1,3,1,1,3,1,4,3,3,4,5,5,2,1,4,3,5,3,1,5
59,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,3,1,3,5,1,3,2,4,5,3,5,2,3,4,5,3,5,2,3,3,3,5,2,4,2
61,"candidate","Social Democratic Party","SDP",NA,NA,NA,0,NA,NA,NA,NA,3,1,5,5,1,5,3,5,5,5,5,1,3,3,4,5,1,2,4,5,4,2,3,NA,3
62,"candidate","Japanese Communist Party","JCP",NA,NA,NA,1,NA,NA,NA,NA,3,1,5,5,1,5,4,5,5,5,5,2,2,4,4,5,2,1,3,5,5,2,4,5,1
63,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,3,1,1,1,4,1,1,1,1,1,3,3,1,1,3,5,2,3,1,2,3,5,3,1,4
64,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,3,2,1,2,1,3,1,2,3,1,4,3,1,1,2,2,4,3,3,3,3,3,5,1,3
65,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,3,2,2,3,1,3,1,3,3,1,5,3,1,2,3,5,1,2,3,3,3,3,3,5,3
66,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,3,2,1,1,4,1,1,1,1,1,3,4,2,3,1,5,5,4,1,3,3,4,3,1,3
67,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,3,3,1,1,1,3,1,2,2,1,5,3,2,1,1,3,3,5,5,3,3,5,2,5,3
68,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,3,3,3,3,1,3,1,2,3,4,5,2,3,2,4,4,3,2,3,4,3,3,1,5,3
69,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,3,3,1,1,3,1,1,1,1,1,3,3,1,2,3,5,5,1,1,4,3,4,4,1,4
70,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,3,4,1,3,1,3,1,1,2,1,3,2,1,1,3,2,1,3,2,2,2,4,2,4,3
71,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,3,4,5,5,1,5,2,5,5,5,5,1,3,5,5,5,1,1,4,5,5,1,1,5,3
72,"candidate","Social Democratic Party","SDP",NA,NA,NA,0,NA,NA,NA,NA,3,4,5,5,1,5,4,5,5,5,5,1,2,3,2,5,1,1,2,2,5,2,1,5,2
73,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,3,4,2,5,1,5,1,1,NA,1,5,NA,1,NA,NA,NA,1,1,NA,5,NA,1,1,5,NA
74,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,3,4,1,1,5,1,1,1,1,1,1,2,3,3,3,5,3,2,1,2,3,5,2,3,3
75,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,4,1,1,1,1,3,1,1,2,1,3,3,1,1,1,1,2,3,4,2,2,NA,3,NA,4
76,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,1,NA,NA,NA,NA,4,1,2,5,1,5,2,4,5,2,5,2,2,2,4,3,1,1,1,4,3,1,1,2,3
77,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,4,1,5,5,1,5,2,2,5,5,5,2,2,2,4,5,1,1,2,5,5,1,2,5,3
78,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,4,1,1,1,3,1,1,1,1,2,1,3,4,3,3,4,4,3,1,3,3,2,2,1,3
79,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,4,1,5,5,1,5,3,5,5,4,5,2,3,2,5,5,1,1,3,5,5,1,2,5,2
80,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,4,2,1,1,2,3,1,2,2,1,3,3,1,NA,1,3,NA,3,3,2,3,5,2,2,3
81,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,4,2,3,3,1,NA,1,NA,NA,5,5,2,4,3,5,5,3,2,3,4,3,3,1,5,3
82,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,4,2,1,1,3,1,1,1,1,3,1,3,3,3,4,5,3,3,3,5,5,5,2,1,3
83,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,4,2,5,4,1,5,1,2,4,5,5,1,3,3,5,1,1,5,4,3,4,3,1,5,1
84,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,4,3,1,1,2,3,1,2,2,1,3,3,1,1,1,3,3,3,3,2,3,3,1,2,3
85,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,4,3,3,3,1,4,2,3,4,1,4,2,3,2,4,4,1,2,1,5,4,2,1,5,3
86,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,4,3,1,1,3,1,1,1,1,1,2,4,NA,4,4,5,3,1,1,3,5,5,1,2,4
87,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,4,4,1,1,2,1,1,2,2,1,3,3,1,2,1,3,3,3,3,2,3,3,3,3,2
88,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,4,4,2,4,1,3,3,4,4,4,4,2,2,2,3,4,2,2,4,3,3,4,2,2,3
89,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,4,4,5,5,1,5,2,2,5,5,5,2,2,2,3,5,1,1,3,5,5,1,1,5,3
90,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,4,4,1,1,2,1,1,3,1,2,1,3,3,3,3,5,5,2,1,3,3,5,4,1,4
91,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,4,5,2,2,1,2,1,2,2,2,5,3,2,2,2,3,4,3,3,3,3,4,3,3,3
92,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,4,5,4,3,3,3,2,2,3,2,4,2,2,3,4,4,2,3,2,2,4,5,1,2,3
93,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,4,6,1,3,1,4,1,1,3,2,4,3,1,1,1,5,3,3,3,5,3,3,1,1,3
94,"candidate","Social Democratic Party","SDP",NA,NA,NA,0,NA,NA,NA,NA,4,6,5,5,1,5,4,5,5,5,4,2,2,2,4,4,1,2,4,5,5,1,1,5,4
95,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,4,6,1,1,5,1,1,1,1,1,1,1,5,2,4,5,5,1,1,1,2,4,2,1,2
96,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,5,1,2,4,2,2,2,2,2,3,3,2,2,2,2,4,4,3,2,3,3,3,5,1,3
97,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,5,1,2,3,2,3,2,3,3,2,4,4,3,3,4,4,1,2,3,3,3,2,4,5,4
98,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,5,1,5,5,1,5,3,3,5,5,5,2,2,2,3,5,3,1,4,4,5,2,2,5,2
99,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,5,1,1,1,5,1,1,1,1,1,1,3,3,5,3,5,5,2,1,3,5,4,1,1,3
100,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,5,1,1,1,4,1,1,1,1,1,3,2,2,2,3,3,2,5,4,3,3,4,3,2,3
101,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,5,2,2,3,3,3,1,2,3,2,4,2,1,1,2,3,3,2,2,3,3,4,1,1,3
102,"candidate","Social Democratic Party","SDP",NA,NA,NA,0,NA,NA,NA,NA,5,2,5,5,1,5,3,3,5,5,4,2,3,3,4,5,1,1,2,5,5,1,1,3,3
103,"candidate","Your Party","YP",NA,NA,NA,0,NA,NA,NA,NA,5,2,5,5,1,5,3,5,5,5,5,2,4,1,5,5,1,1,4,5,5,1,1,5,3
104,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,5,2,1,1,3,1,1,1,1,1,3,4,3,4,2,5,5,4,1,3,3,1,3,1,3
105,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,5,2,2,4,1,3,2,3,4,3,4,3,3,3,3,4,1,2,3,3,3,3,1,5,4
106,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,5,3,1,2,3,5,5,2,1,3,4,3,2,1,2,2,3,4,3,3,3,4,3,2,2
107,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,1,NA,NA,NA,NA,5,3,5,5,1,5,2,4,5,3,5,3,4,3,5,5,1,2,3,5,5,1,2,4,3
108,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,5,3,1,1,3,1,1,1,1,1,1,2,2,4,3,5,4,4,1,3,5,3,5,1,3
109,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,5,3,2,2,1,3,1,2,2,2,4,2,2,1,1,3,1,3,3,3,2,4,2,2,3
110,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,6,1,2,3,1,4,2,3,2,3,5,2,2,2,2,2,4,5,2,4,3,4,2,3,4
111,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,6,1,2,3,1,4,2,3,4,3,4,1,2,2,3,4,2,2,4,3,3,4,2,4,3
112,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,6,1,5,5,1,5,2,2,5,5,5,2,2,2,3,5,1,1,2,5,5,1,1,5,3
113,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,6,1,1,1,3,1,1,1,1,2,2,3,3,3,3,5,4,2,1,3,4,3,1,1,3
114,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,6,1,3,3,2,4,1,1,3,3,3,3,1,2,2,5,5,5,4,1,2,5,1,5,3
115,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,6,2,1,1,5,2,1,2,3,3,3,3,3,3,3,1,3,4,3,3,3,5,3,1,3
116,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,6,2,3,3,2,3,1,2,3,2,4,2,2,3,3,5,1,5,3,4,3,4,2,1,3
117,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,6,2,1,1,3,1,3,1,1,1,2,4,4,5,2,5,5,3,1,3,3,5,2,2,4
118,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,6,3,2,3,1,3,2,3,4,2,5,2,2,1,2,2,5,1,3,3,3,2,2,2,3
119,"candidate","Social Democratic Party","SDP",NA,NA,NA,0,NA,NA,NA,NA,6,3,5,5,1,5,2,5,5,5,5,1,3,3,5,5,5,1,1,5,5,1,1,5,3
120,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,6,3,5,5,1,5,2,2,5,5,5,2,2,2,3,5,1,1,2,5,5,1,1,5,3
121,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,6,3,1,1,3,1,1,3,2,2,3,4,4,5,3,5,4,2,1,2,4,4,2,1,3
122,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,7,1,1,1,1,3,1,1,1,1,3,3,1,2,1,3,3,3,3,1,3,5,5,1,1
123,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,7,1,4,2,1,5,5,4,NA,3,5,1,1,4,3,3,1,2,4,3,3,4,2,4,5
124,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,7,1,5,5,1,5,5,5,5,5,5,1,3,3,3,5,1,1,3,5,5,1,3,5,3
125,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,7,1,1,1,1,1,1,2,1,1,2,3,2,3,3,5,4,4,2,2,4,2,3,2,3
126,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,7,2,1,1,2,2,1,1,2,1,3,3,1,1,1,3,5,3,3,2,3,4,5,1,2
127,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,1,NA,NA,NA,NA,7,2,4,4,1,4,1,3,5,3,5,2,4,3,5,4,1,4,3,3,3,4,1,5,2
128,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,7,2,1,1,3,1,1,3,3,3,3,3,3,NA,3,5,3,3,1,3,3,5,5,1,3
129,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,7,3,1,1,1,3,1,1,4,1,5,3,3,1,3,1,4,5,3,2,2,5,3,1,1
130,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,7,3,2,2,2,2,2,3,2,2,3,2,3,3,4,2,1,3,3,3,3,4,1,3,3
131,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,7,4,1,1,3,3,1,2,1,2,4,4,1,1,1,2,4,5,3,2,2,5,4,2,3
132,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,7,4,1,3,2,3,2,2,3,2,4,2,2,2,2,3,1,3,3,3,2,3,3,4,3
133,"candidate","Your Party","YP",NA,NA,NA,0,NA,NA,NA,NA,7,4,1,3,1,2,2,3,3,2,NA,3,3,3,3,5,2,1,2,4,3,1,1,2,4
134,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,7,4,1,1,5,1,2,1,1,2,2,3,2,3,4,5,5,5,1,3,3,4,4,2,5
135,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,7,5,1,2,2,1,1,1,1,2,2,3,4,1,2,2,3,3,2,2,4,5,5,2,5
136,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,7,5,1,2,4,3,3,3,2,3,4,2,2,2,4,2,2,4,2,3,3,4,2,4,3
137,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,7,5,1,1,1,1,1,1,1,1,1,4,3,3,4,5,3,2,1,3,5,5,1,1,2
138,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,8,1,1,1,1,2,1,1,2,2,4,3,3,2,3,2,2,4,4,2,2,3,3,1,2
139,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,8,1,1,3,1,3,2,1,3,2,4,2,4,4,4,3,1,3,3,4,3,4,2,2,3
140,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,8,1,5,5,1,5,5,5,5,5,5,1,3,3,3,5,1,1,3,5,3,1,3,5,3
141,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,8,1,1,1,5,1,1,1,1,1,1,5,2,5,4,5,5,1,1,3,5,3,1,3,3
142,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,8,2,1,2,1,4,1,2,2,2,4,2,4,2,2,2,4,4,2,2,4,4,2,2,3
143,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,8,2,2,5,1,5,1,4,5,1,5,2,3,1,3,5,1,1,2,4,4,2,2,5,3
